"id","startDate","endDate","boat","product","departurePort","arrivalPort","tripStatus","availableSpaces","bookedSpaces","optionSpaces","price","parentPrice"
6241,"2025-07-15","2025-07-28","Pacific Master","Bikini Atoll","Kwajalein","Kwajalein","Confirmed",4,14,0,"0.00",""
26938,"2025-07-15","2025-07-18","Nusantara","Best of Komodo 4D/3N","Labuan Bajo","Labuan Bajo","Confirmed",6,1,5,"840.00",""
15675,"2025-07-17","2025-07-24","Heaven Saphir","Southern Route – St. John’s","Port Ghalib","Port Ghalib","Confirmed",0,20,0,"",""
15045,"2025-07-17","2025-07-27","White Pearl","Hanifaru Bay and Northern Atolls 10 nights","Male","Male","Confirmed",0,26,0,"",""
28452,"2025-07-19","2025-07-23","Anne Bonny","Komodo","Labuan Bajo","Labuan Bajo","Confirmed",0,9,0,"",""
18163,"2025-07-19","2025-07-26","Blue Horizon","Brothers, Daedalus & Elphinstone","Port Ghalib","Hurghada","Confirmed",26,0,0,"",""
18308,"2025-07-19","2025-07-26","Blue Melody","Strait of Tiran & North","Hurghada","Hurghada","Confirmed",26,0,0,"",""
13564,"2025-07-20","2025-07-27","Horizon-3 Dive Safari","Best Of The Central Atolls (Male-Ari-Vaavu-Male)","Male","Male","Confirmed",0,24,0,"",""
26976,"2025-07-20","2025-07-22","Nusantara","Best of Komodo 3D/2N","Labuan Bajo","Labuan Bajo","Confirmed",10,1,1,"630.00",""
15305,"2025-07-20","2025-07-27","Carpe Diem Phinisi","Komodo Yoga and Diving","Labuan Bajo","Labuan Bajo","Confirmed",1,5,0,"2520.00","2800.00"
6180,"2025-07-21","2025-07-28","Galapagos Master","Master the Galapagos","Port of San Cristobal","Port of San Cristobal","Confirmed",0,16,0,"",""
17352,"2025-07-22","2025-08-01","Sea Hunter","Cocos Island","Puntarenas","Puntarenas","Confirmed",0,10,0,"6990.00",""
13091,"2025-07-22","2025-07-29","Black Pearl","Palau Bumphead Spawning (New Moon)","Malakal","Malakal","Confirmed",4,19,0,"3564.00","3960.00"
22386,"2025-07-22","2025-08-01","Horizon-2 Surf Safari","Central Maldives - Male - Thaa - Dhaalu - Meemu - Laamu - Male","Male","Male","Confirmed",10,2,0,"2962.00",""
21306,"2025-07-22","2025-07-29","Galapagos Citizen Science Expedition","Galapagos 8-day Conservation Dive Trip","Baltra","Baltra","Confirmed",0,16,0,"6090.00",""
30642,"2025-07-23","2025-08-02","Adora","Surf Central 10Nights","Male","Male","Confirmed",0,21,0,"",""
34910,"2025-07-23","2025-07-28","Jelajahi Laut","Best of Komodo 6D/5N","Labuan Bajo","Labuan Bajo","Confirmed",12,0,0,"2133.00","2370.00"
6677,"2025-07-24","2025-08-03","Palau Siren","Palau Islands","Koror","Koror","Confirmed",4,12,0,"5350.00",""
15676,"2025-07-24","2025-07-31","Heaven Saphir","Brothers - Daedalus - Elphinstone","Port Ghalib","Hurghada","Not confirmed",20,0,0,"1620.00",""
26939,"2025-07-24","2025-07-27","Nusantara","Best of Komodo 4D/3N","Labuan Bajo","Labuan Bajo","Confirmed",6,6,0,"840.00",""
32543,"2025-07-24","2025-07-27","The Junk","Southern Explorer","Chalong Pier","Chalong Pier","Confirmed",13,5,0,"0.00",""
28453,"2025-07-26","2025-08-03","Anne Bonny","Sumbawa-Komodo","Sumbawa Besar","Labuan Bajo","Confirmed",0,9,0,"",""
18309,"2025-07-26","2025-08-02","Blue Melody","Northern Red Sea & Brothers","Hurghada","Hurghada","Confirmed",0,26,0,"",""
13565,"2025-07-27","2025-08-03","Horizon-3 Dive Safari","Best Of The Central Atolls (Male-Ari-Vaavu-Male)","Male","Male","Confirmed",0,24,0,"1499.00","2998.00"
15047,"2025-07-27","2025-08-03","White Pearl","Best of Central Atolls 7 nights","Male","Male","Confirmed",6,16,4,"2781.00","3090.00"
33694,"2025-07-27","2025-08-01","Lagoon 380","Classic 6 days / 5 nights cruise","Nosy Be","Nosy Be","Confirmed",8,0,0,"403.00",""
6181,"2025-07-28","2025-08-04","Galapagos Master","Master the Galapagos","Port of San Cristobal","Port of San Cristobal","Confirmed",2,14,0,"7140.00",""
13092,"2025-07-29","2025-08-05","Black Pearl","Best of Palau 7 nights","Malakal","Malakal","Confirmed",16,8,0,"3366.00","3960.00"
6242,"2025-07-29","2025-08-08","Pacific Master","Bikini Atoll","Kwajalein","Kwajalein","Confirmed",2,16,0,"0.00",""
26977,"2025-07-29","2025-07-31","Nusantara","Best of Komodo 3D/2N","Labuan Bajo","Labuan Bajo","Confirmed",6,5,1,"630.00",""
21307,"2025-07-29","2025-08-12","Galapagos Citizen Science Expedition","Galapagos 15-day Conservation Dive Liveaboard","Baltra","Baltra","Confirmed",0,16,0,"12290.00",""
34913,"2025-07-30","2025-08-05","Jelajahi Laut","Best of Komodo 7D/6N","Labuan Bajo","Labuan Bajo","Confirmed",11,1,0,"2488.50","2765.00"
15306,"2025-07-30","2025-08-06","Carpe Diem Phinisi","Komodo National Park","Labuan Bajo","Labuan Bajo","Confirmed",4,3,0,"3124.80","3472.00"
22931,"2025-07-30","2025-08-09","Indo Master","Komodo National Park","Labuan Bajo","Labuan Bajo","Confirmed",7,11,0,"0.00",""
15677,"2025-07-31","2025-08-07","Heaven Saphir","Classical North Wreck & Reef","Hurghada","Hurghada","Not confirmed",20,0,0,"1500.00",""
22810,"2025-08-02","2025-08-19","Adora","Surf Central 17Nights","Male","Male","Not confirmed",0,21,0,"",""
22387,"2025-08-02","2025-08-12","Horizon-2 Surf Safari","Central Maldives - Male - Thaa - Dhaalu - Meemu - Laamu - Male","Male","Male","Confirmed",6,6,0,"2962.00",""
26940,"2025-08-02","2025-08-05","Nusantara","Best of Komodo 4D/3N","Labuan Bajo","Labuan Bajo","Confirmed",12,0,0,"840.00",""
18310,"2025-08-02","2025-08-09","Blue Melody","Northern Red Sea Wrecks & Reefs","Hurghada","Hurghada","Confirmed",3,17,6,"906.50","1295.00"
13566,"2025-08-03","2025-08-10","Horizon-3 Dive Safari","Best Of The Central Atolls (Male-Ari-Vaavu-Male)","Male","Male","Confirmed",0,24,0,"1499.00","2998.00"
6913,"2025-08-03","2025-08-13","Solomons Master","Best of the Solomons","Honiara","Honiara","Confirmed",5,10,1,"5080.00","6350.00"
18384,"2025-08-03","2025-08-10","White Pearl","Best of Central Atolls 7 nights","Male","Male","Confirmed",4,20,0,"3090.00",""
33695,"2025-08-03","2025-08-08","Lagoon 380","Classic 6 days / 5 nights cruise","Nosy Be","Nosy Be","Not confirmed",8,0,0,"",""
6679,"2025-08-04","2025-08-11","Palau Siren","Palau Islands","Koror","Koror","Confirmed",0,17,0,"3745.00",""
6182,"2025-08-04","2025-08-11","Galapagos Master","Master the Galapagos","Port of San Cristobal","Port of San Cristobal","Confirmed",0,16,0,"7140.00",""
17353,"2025-08-04","2025-08-15","Sea Hunter","Cocos Island","Puntarenas","Puntarenas","Confirmed",0,18,1,"7650.00",""
13093,"2025-08-05","2025-08-12","Black Pearl","Palau Snapper Spawning (Full moon)","Malakal","Malakal","Confirmed",5,18,1,"3960.00",""
28454,"2025-08-05","2025-08-08","Anne Bonny","Komodo","Labuan Bajo","Labuan Bajo","Confirmed",0,9,0,"",""
15678,"2025-08-07","2025-08-14","Heaven Saphir","Daedalus – Rocky Island – Elphinstone","Port Ghalib","Port Ghalib","Confirmed",0,20,0,"",""
26978,"2025-08-07","2025-08-09","Nusantara","Best of Komodo 3D/2N","Labuan Bajo","Labuan Bajo","Confirmed",8,4,0,"630.00",""
34915,"2025-08-07","2025-08-11","Jelajahi Laut","Best of Komodo 5D/4N","Labuan Bajo","Labuan Bajo","Confirmed",8,2,2,"1975.00",""
32545,"2025-08-07","2025-08-10","The Junk","Southern Explorer","Chalong Pier","Chalong Pier","Confirmed",11,6,1,"0.00",""
6243,"2025-08-09","2025-08-20","Pacific Master","Bikini Atoll","Kwajalein","Kwajalein","Confirmed",18,0,0,"",""
15307,"2025-08-09","2025-08-16","Carpe Diem Phinisi","Komodo National Park","Labuan Bajo","Labuan Bajo","Confirmed",5,2,1,"3124.80","3472.00"
28455,"2025-08-09","2025-08-14","Anne Bonny","Komodo","Labuan Bajo","Labuan Bajo","Confirmed",0,9,0,"",""
18165,"2025-08-09","2025-08-16","Blue Horizon","Brothers, Daedalus & Elphinstone","Hurghada","Hurghada","Confirmed",11,14,1,"1053.50","1505.00"
18311,"2025-08-09","2025-08-16","Blue Melody","Brothers, Daedalus & Elphinstone","Hurghada","Hurghada","Confirmed",1,25,0,"1053.50","1505.00"
20486,"2025-08-10","2025-08-21","Calico Jack","Cenderawasih Bay - Manokwari - Nabire","Manokwari","Nabire","Confirmed",0,10,0,"",""
13567,"2025-08-10","2025-08-17","Horizon-3 Dive Safari","Best Of The Central Atolls (Male-Ari-Vaavu-Male)","Male","Male","Confirmed",10,14,0,"1499.00","2998.00"
15048,"2025-08-10","2025-08-17","White Pearl","Best of Central Atolls 7 nights","Male","Male","Confirmed",0,26,0,"",""
22932,"2025-08-10","2025-08-20","Indo Master","Komodo National Park","Labuan Bajo","Labuan Bajo","Confirmed",5,13,0,"0.00",""
33696,"2025-08-10","2025-08-15","Lagoon 380","Classic 6 days / 5 nights cruise","Nosy Be","Nosy Be","Not confirmed",8,0,0,"",""
6183,"2025-08-11","2025-08-18","Galapagos Master","Master the Galapagos","Port of San Cristobal","Port of San Cristobal","Confirmed",4,12,0,"7140.00",""
26941,"2025-08-11","2025-08-14","Nusantara","Best of Komodo 4D/3N","Labuan Bajo","Labuan Bajo","Confirmed",12,0,0,"840.00",""
6678,"2025-08-12","2025-08-22","Palau Siren","Palau Islands","Koror","Koror","Confirmed",13,3,0,"4280.00","5350.00"
13094,"2025-08-12","2025-08-19","Black Pearl","Best of Palau 7 nights","Malakal","Malakal","Confirmed",4,8,12,"2970.00","3960.00"
21308,"2025-08-12","2025-08-19","Galapagos Citizen Science Expedition","Galapagos 8-day Conservation Dive Trip","Baltra","Baltra","Confirmed",0,14,2,"6090.00",""
22388,"2025-08-13","2025-08-23","Horizon-2 Surf Safari","Central Maldives - Male - Thaa - Dhaalu - Meemu - Laamu - Male","Male","Male","Confirmed",7,5,0,"2962.00",""
34911,"2025-08-13","2025-08-18","Jelajahi Laut","Best of Komodo 6D/5N","Labuan Bajo","Labuan Bajo","Confirmed",7,6,0,"2370.00",""
15679,"2025-08-14","2025-08-21","Heaven Saphir","North-Brothers-Safaga","Hurghada","Hurghada","Not confirmed",20,0,0,"1550.00",""
6914,"2025-08-14","2025-08-24","Solomons Master","Best of the Solomons","Honiara","Honiara","Confirmed",5,11,0,"5080.00","6350.00"
26979,"2025-08-16","2025-08-18","Nusantara","Best of Komodo 3D/2N","Labuan Bajo","Labuan Bajo","Confirmed",12,0,0,"630.00",""
18166,"2025-08-16","2025-08-23","Blue Horizon","Northern Red Sea & Brothers","Hurghada","Hurghada","Confirmed",5,18,3,"1036.00","1295.00"
42369,"2025-08-16","2025-08-23","Blue Melody","Northern Red Sea Wrecks & Reefs","Hurghada","Hurghada","Confirmed",26,0,0,"",""
13568,"2025-08-17","2025-08-24","Horizon-3 Dive Safari","Male - Baa Atoll Hanifaru Bay - Male","Male","Male","Confirmed",17,6,1,"1499.00","2998.00"
15049,"2025-08-17","2025-08-24","White Pearl","Hanifaru Bay Manta Encounter 7 nights","Male","Male","Confirmed",4,16,6,"2781.00","3090.00"
28456,"2025-08-17","2025-08-19","Anne Bonny","Komodo","Labuan Bajo","Labuan Bajo","Confirmed",0,9,0,"",""
33697,"2025-08-17","2025-08-22","Lagoon 380","Classic 6 days / 5 nights cruise","Nosy Be","Nosy Be","Not confirmed",8,0,0,"",""
6184,"2025-08-18","2025-08-25","Galapagos Master","Master the Galapagos","Port of San Cristobal","Port of San Cristobal","Confirmed",0,16,0,"",""
17354,"2025-08-18","2025-08-28","Sea Hunter","Cocos Island","Puntarenas","Puntarenas","Confirmed",0,20,0,"",""
13095,"2025-08-19","2025-08-26","Black Pearl","Palau Bumphead Spawning (New Moon)","Malakal","Malakal","Confirmed",18,6,0,"2970.00","3960.00"
15308,"2025-08-19","2025-08-26","Carpe Diem Phinisi","Komodo National Park","Labuan Bajo","Labuan Bajo","Confirmed",5,3,0,"3124.80","3472.00"
22811,"2025-08-20","2025-08-30","Adora","Surf Central 10Nights","Male","Male","Confirmed",0,21,0,"",""
26942,"2025-08-20","2025-08-23","Nusantara","Best of Komodo 4D/3N","Labuan Bajo","Labuan Bajo","Confirmed",11,1,0,"840.00",""
34914,"2025-08-20","2025-08-26","Jelajahi Laut","Best of Komodo 7D/6N","Labuan Bajo","Labuan Bajo","Confirmed",12,0,0,"2488.50","2765.00"
28457,"2025-08-20","2025-08-24","Anne Bonny","Komodo","Labuan Bajo","Labuan Bajo","Confirmed",0,9,0,"",""
32637,"2025-08-20","2025-08-27","Galapagos Luxury Conservation Expedition","Galapogos Luxury Science Expedition","Baltra","Baltra","Confirmed",2,14,0,"7100.00",""
15680,"2025-08-21","2025-08-28","Heaven Saphir","North + Tiran Wrecks & Reefs","Hurghada","Hurghada","Confirmed",0,20,0,"",""
22902,"2025-08-21","2025-08-29","Indo Master","Custom Itinerary (Charter)","Labuan Bajo","Labuan Bajo","Confirmed",0,16,0,"",""
32547,"2025-08-21","2025-08-24","The Junk","Southern Explorer","Chalong Pier","Chalong Pier","Confirmed",12,5,1,"590.00",""
